---
title:
  prefix: Eidgenössische Volksabstimmung
url: https://www.bk.admin.ch/ch/d/pore/va/vab_1_3_3_1.html
notes: Ob ein Termin tatsächlich benützt wird ist nicht sicher. Der Bundesrat legt wenigstens vier Monate vor dem Abstimmungstermin fest, welche Vorlagen zur Abstimmung gelangen.
---

23.09.2018, (blanko)
25.11.2018, (blanko)
10.02.2019, (blanko)
19.05.2019, (blanko)
20.10.2019, Nationalratswahlen (blanko)
24.11.2019, (blanko)
09.02.2020, (blanko)
17.05.2020, (blanko)
27.09.2020, (blanko)
29.11.2020, (blanko)
07.03.2021, (blanko)
13.06.2021, (blanko)
26.09.2021, (blanko)
28.11.2021, (blanko)
13.02.2022, (blanko)
15.05.2022, (blanko)
25.09.2022, (blanko)
27.11.2022, (blanko)
12.03.2023, (blanko)
18.06.2023, (blanko)
22.10.2023, Nationalratswahlen (blanko)
26.11.2023, (blanko)
03.03.2024, (blanko)
09.06.2024, (blanko)
22.09.2024, (blanko)
24.11.2024, (blanko)
09.02.2025, (blanko)
18.05.2025, (blanko)
28.09.2025, (blanko)
30.11.2025, (blanko)
08.03.2026, (blanko)
14.06.2026, (blanko)
27.09.2026, (blanko)
29.11.2026, (blanko)
28.02.2027, (blanko)
06.06.2027, (blanko)
24.10.2027, Nationalratswahlen (blanko)
28.11.2027, (blanko)
13.02.2028, (blanko)
21.05.2028, (blanko)
24.09.2028, (blanko)
26.11.2028, (blanko)
04.03.2029, (blanko)
10.06.2029, (blanko)
23.09.2029, (blanko)
25.11.2029, (blanko)
10.02.2030, (blanko)
19.05.2030, (blanko)
22.09.2030, (blanko)
24.11.2030, (blanko)
09.02.2031, (blanko)
18.05.2031, (blanko)
19.10.2031, Nationalratswahlen (blanko)
30.11.2031, (blanko)
29.02.2032, (blanko)
06.06.2032, (blanko)
26.09.2032, (blanko)
28.11.2032, (blanko)
13.02.2033, (blanko)
15.05.2033, (blanko)
25.09.2033, (blanko)
27.11.2033, (blanko)
12.03.2034, (blanko)
18.06.2034, (blanko)
24.09.2034, (blanko)
26.11.2034, (blanko)
25.02.2035, (blanko)
03.06.2035, (blanko)
21.10.2035, Nationalratswahlen (blanko)
25.11.2035, (blanko)
10.02.2036, (blanko)
18.05.2036, (blanko)
28.09.2036, (blanko)
30.11.2036, (blanko)
08.03.2037, (blanko)
14.06.2037, (blanko)
27.09.2037, (blanko)
29.11.2037, (blanko)
